reg_dt,21_lc1,21_lc2,21_lc3,21_lc4,22_lc1,22_lc2,22_lc3,22_lc4,23_lc1,23_lc2,23_lc3,23_lc4,24_lc1,24_lc2,24_lc3,24_lc4,25_lc1,25_lc2,25_lc3,25_lc4,26_lc1,26_lc2,26_lc3,26_lc4,27_lc1,27_lc2,27_lc3,27_lc4,28_lc1,28_lc2,28_lc3,28_lc4,29_lc1,29_lc2,29_lc3,29_lc4,30_lc1,30_lc2,30_lc3,30_lc4,31_lc1,31_lc2,31_lc3,31_lc4,32_lc1,32_lc2,32_lc3,32_lc4,33_lc1,33_lc2,33_lc3,33_lc4,34_lc1,34_lc2,34_lc3,34_lc4,35_lc1,35_lc2,35_lc3,35_lc4,36_lc1,36_lc2,36_lc3,36_lc4,37_lc1,37_lc2,37_lc3,37_lc4,38_lc1,38_lc2,38_lc3,38_lc4,39_lc1,39_lc2,39_lc3,39_lc4,40_lc1,40_lc2,40_lc3,40_lc4,41_lc1,41_lc2,41_lc3,41_lc4,42_lc1,42_lc2,42_lc3,42_lc4,43_lc1,43_lc2,43_lc3,43_lc4,44_lc1,44_lc2,44_lc3,44_lc4,45_lc1,45_lc2,45_lc3,45_lc4,46_lc1,46_lc2,46_lc3,46_lc4,47_lc1,47_lc2,47_lc3,47_lc4,48_lc1,48_lc2,48_lc3,48_lc4,49_lc1,49_lc2,49_lc3,49_lc4,50_lc1,50_lc2,50_lc3,50_lc4,51_lc1,51_lc2,51_lc3,51_lc4,52_lc1,52_lc2,52_lc3,52_lc4,53_lc1,53_lc2,53_lc3,53_lc4,54_lc1,54_lc2,54_lc3,54_lc4,55_lc1,55_lc2,55_lc3,55_lc4,56_lc1,56_lc2,56_lc3,56_lc4,57_lc1,57_lc2,57_lc3,57_lc4,58_lc1,58_lc2,58_lc3,58_lc4,59_lc1,59_lc2,59_lc3,59_lc4,60_lc1,60_lc2,60_lc3,60_lc4,21_ble,22_ble,23_ble,24_ble,25_ble,26_ble,27_ble,28_ble,29_ble,30_ble,31_ble,32_ble,33_ble,34_ble,35_ble,36_ble,37_ble,38_ble,39_ble,40_ble,41_ble,42_ble,43_ble,44_ble,45_ble,46_ble,47_ble,48_ble,49_ble,50_ble,51_ble,52_ble,53_ble,54_ble,55_ble,56_ble,57_ble,58_ble,59_ble,60_ble
2021-09-15 10:07:00.317032,0,164,0,52,0,0,0,0,0,0,0,0,0,77,0,0,0,0,64,0,0,0,0,0,55,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,96,0,129,86,999,894,160,999,788,476,801,999,0,0,0,0,57,55,0,0,65,73,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,66,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,53,0,75,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:00.941885,0,164,0,51,0,0,0,0,0,0,0,0,0,77,0,0,0,0,64,0,0,0,0,0,55,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,55,124,69,999,999,328,999,0,0,0,0,0,0,0,0,57,55,0,0,65,73,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,66,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,53,0,75,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,0,0
2021-09-15 10:07:02.504057,0,166,0,53,0,0,0,0,0,0,0,0,0,78,0,0,0,0,66,0,0,0,0,0,56,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,151,0,0,0,0,0,0,0,0,0,57,55,0,0,65,73,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,65,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,52,0,75,0,0,0,0,0,0,0,0,0,73,0,0,108,0,64,0,0,95,0,56,999,604,429,999,81,0,211,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,0,0
2021-09-15 10:07:07.190403,0,166,0,54,0,0,0,0,0,0,0,0,0,78,0,0,0,0,68,0,0,0,0,0,59,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,57,0,0,0,0,0,0,0,0,55,54,0,0,64,72,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,61,0,52,0,0,999,999,999,999,0,91,0,0,0,0,0,0,0,150,0,0,0,52,0,55,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,57,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,-68,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,-79,0
2021-09-15 10:07:07.502828,0,167,0,54,0,0,0,0,0,0,0,0,0,78,0,0,0,0,68,0,0,0,0,0,92,660,999,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,57,0,0,0,0,0,0,0,0,55,54,0,0,64,71,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,111,746,96,130,999,999,999,999,659,75,110,0,66,0,0,0,0,0,140,0,0,0,53,0,54,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,57,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,-68,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,-79,0
2021-09-15 10:07:09.065028,0,160,0,0,0,0,0,0,0,120,550,856,0,74,0,0,0,0,54,0,77,999,999,999,57,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,55,0,0,0,0,0,0,0,0,56,55,0,0,64,72,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,55,0,0,0,0,0,0,52,0,0,67,0,0,0,0,0,0,0,0,0,0,0,55,0,54,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:10.627121,219,999,999,999,0,0,0,0,0,0,0,0,0,223,0,62,79,0,112,79,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,55,0,0,0,0,0,0,0,0,57,52,0,0,65,74,0,0,0,0,0,0,0,0,0,0,51,0,63,0,0,0,0,56,0,0,0,0,0,0,53,0,0,68,0,0,0,0,0,0,0,0,0,0,0,56,0,55,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:10.939534,221,999,999,597,945,276,70,309,0,0,0,0,0,0,0,0,73,0,104,70,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,54,0,0,0,0,0,0,0,0,58,52,0,0,65,74,0,0,0,0,0,0,0,0,0,0,51,0,63,0,0,0,0,56,0,0,0,0,0,0,53,0,0,69,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68
2021-09-15 10:07:11.251954,105,324,657,0,999,999,460,999,0,0,0,0,0,0,52,0,0,0,69,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,54,0,0,0,0,0,0,0,0,55,52,0,0,67,72,0,0,0,0,0,0,0,0,0,0,51,0,62,0,0,0,0,56,0,0,0,0,0,0,53,0,0,69,0,0,0,0,0,0,0,0,0,0,0,56,0,55,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,58,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0
2021-09-15 10:07:11.564376,0,148,64,0,999,999,808,727,0,0,0,0,0,0,53,0,0,0,54,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,55,0,0,0,0,0,0,0,0,55,0,0,0,67,71,0,0,0,0,0,0,0,0,0,0,51,0,62,0,0,0,0,56,0,0,0,0,0,0,53,0,0,69,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45,0,0,0,0
2021-09-15 10:07:14.063792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,59,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,56,0,0,0,0,0,0,0,0,190,151,708,167,999,146,91,999,122,676,479,137,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,52,0,0,69,0,0,0,0,0,0,0,0,0,0,0,56,0,56,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,57,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,-71,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,-65,0,0,0
2021-09-15 10:07:20.312354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,56,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,85,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,61,64,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,67,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,59,0,0,0,0,0,0,78,0,0,0,0,0,0,62,0,0,70,0,0,0,0,0,0,0,57,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:21.249604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,56,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,231,0,62,0,89,0,209,191,172,99,999,999,999,0,0,0,0,0,0,0,0,0,61,64,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,67,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,54,0,0,0,0,0,0,77,0,0,0,0,0,0,62,0,0,71,0,0,0,0,0,0,0,57,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,-73,0,0,-67,0,0,0,-67,0,0,0,0,-58,0,-51
2021-09-15 10:07:27.498155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,60,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,58,0,65,68,142,999,999,999,0,0,0,0,0,0,56,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,72,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,70,0,0,74,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:28.123017,0,0,51,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,56,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,999,999,999,341,58,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,74,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,52,0,61,0,0,0,0,0,0,71,0,0,76,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,0
2021-09-15 10:07:31.247266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,53,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,61,65,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,60,0,0,0,0,999,999,999,999,78,99,0,60,0,0,0,0,0,126,0,0,0,51,0,61,0,0,0,0,0,0,72,0,0,78,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:32.809471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,54,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,72,0,0,0,0,55,0,0,0,79,97,0,52,0,0,0,0,53,57,0,0,0,0,0,60,0,0,52,0,0,0,54,0,0,78,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:33.121860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,54,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,69,0,0,0,0,53,0,0,0,63,88,0,0,0,0,0,0,58,52,0,0,0,0,0,60,0,0,52,0,0,0,55,0,0,78,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:37.183413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,55,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,368,54,55,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,58,63,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,67,0,0,0,0,0,0,53,0,0,63,0,0,0,0,0,0,107,0,0,0,0,0,0,68,0,0,51,0,0,0,55,0,0,78,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:38.433074,0,0,51,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,51,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,999,999,999,0,115,54,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,69,0,0,0,0,0,0,55,0,0,68,0,0,0,0,0,0,0,0,0,0,0,61,0,63,0,0,52,0,0,0,55,0,0,71,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:38.745502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,52,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,62,0,438,999,299,999,999,701,999,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,69,0,0,0,0,0,0,56,0,0,68,0,0,0,0,0,0,0,0,0,0,0,51,0,74,0,0,52,0,0,0,55,0,0,67,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:40.620121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,52,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817,999,999,868,0,0,0,0,0,0,61,0,141,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,70,0,0,0,0,0,0,55,0,0,70,0,0,0,0,0,0,0,0,0,0,0,52,0,74,0,0,52,0,0,0,56,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,-72,0,0,0,0
2021-09-15 10:07:40.932488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,53,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,0,51,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,70,0,0,0,0,0,0,55,0,0,71,0,0,0,0,0,0,0,0,0,0,0,52,0,75,0,0,52,0,0,0,56,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,-72,0,0,0,0
2021-09-15 10:07:41.869766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,393,999,51,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,71,0,0,0,0,0,0,62,0,0,69,0,0,0,0,0,0,0,0,0,0,0,52,0,74,0,0,52,0,0,0,56,0,0,70,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-15 10:07:42.494621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,59,64,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,72,0,0,0,0,0,0,61,0,0,69,0,0,0,0,0,0,0,0,0,0,0,52,0,74,0,0,52,0,0,0,56,0,0,71,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,-71,0
